t,d_1,d_2,d_3,d_4,d_5,d_6,d_7,d_8,d_9,d_10,d_11,d_12,d_13,d_14,d_15,d_16,d_17,d_18,d_19,d_20,d_21,d_22,d_23,d_24,d_25,d_26,d_27,d_28,d_29,d_30,d_31,d_32,d_33,d_34,d_35,d_36,d_37,d_38,d_39,d_40,d_41,d_42,d_43,d_44,d_45,d_46,d_47,d_48,d_49,d_50,d_51,d_52,d_53,d_54,d_55,d_56,d_57,d_58,d_59,d_60,d_61,d_62,d_63,d_64,d_65,d_66,d_67,d_68,d_69,d_70,d_71,d_72,d_73
10,91.7,82.0,152.0,62.7,60.3,115.8,106.2,144.8,147.2,164.1,0.0,0.0,224.4,164.1,267.8,84.4,0.0,282.3,154.4,108.6,0.0,0.0,0.0,0.0,91.7,82.0,152.0,62.7,60.3,115.8,106.2,144.8,147.2,164.1,0.0,0.0,224.4,164.1,267.8,84.4,0.0,282.3,154.4,108.6,0.0,0.0,0.0,0.0,91.7,82.0,152.0,62.7,60.3,115.8,106.2,144.8,147.2,164.1,0.0,0.0,224.4,164.1,267.8,84.4,0.0,282.3,154.4,108.6,0.0,0.0,0.0,0.0,0.0
11,90.7,81.2,150.4,62.1,59.7,114.6,105.1,143.3,145.6,162.4,0.0,0.0,222.0,162.4,265.0,83.6,0.0,279.3,152.8,107.4,0.0,0.0,0.0,0.0,90.7,81.2,150.4,62.1,59.7,114.6,105.1,143.3,145.6,162.4,0.0,0.0,222.0,162.4,265.0,83.6,0.0,279.3,152.8,107.4,0.0,0.0,0.0,0.0,90.7,81.2,150.4,62.1,59.7,114.6,105.1,143.3,145.6,162.4,0.0,0.0,222.0,162.4,265.0,83.6,0.0,279.3,152.8,107.4,0.0,0.0,0.0,0.0,0.0
12,90.7,81.2,150.4,62.1,59.7,114.6,105.1,143.3,145.6,162.4,0.0,0.0,222.0,162.4,265.0,83.6,0.0,279.3,152.8,107.4,0.0,0.0,0.0,0.0,90.7,81.2,150.4,62.1,59.7,114.6,105.1,143.3,145.6,162.4,0.0,0.0,222.0,162.4,265.0,83.6,0.0,279.3,152.8,107.4,0.0,0.0,0.0,0.0,90.7,81.2,150.4,62.1,59.7,114.6,105.1,143.3,145.6,162.4,0.0,0.0,222.0,162.4,265.0,83.6,0.0,279.3,152.8,107.4,0.0,0.0,0.0,0.0,0.0
13,90.7,81.2,150.4,62.1,59.7,114.6,105.1,143.3,145.6,162.4,0.0,0.0,222.0,162.4,265.0,83.6,0.0,279.3,152.8,107.4,0.0,0.0,0.0,0.0,90.7,81.2,150.4,62.1,59.7,114.6,105.1,143.3,145.6,162.4,0.0,0.0,222.0,162.4,265.0,83.6,0.0,279.3,152.8,107.4,0.0,0.0,0.0,0.0,90.7,81.2,150.4,62.1,59.7,114.6,105.1,143.3,145.6,162.4,0.0,0.0,222.0,162.4,265.0,83.6,0.0,279.3,152.8,107.4,0.0,0.0,0.0,0.0,0.0
14,88.8,79.5,147.2,60.8,58.4,112.2,102.8,140.2,142.6,158.9,0.0,0.0,217.4,158.9,259.4,81.8,0.0,273.5,149.6,105.2,0.0,0.0,0.0,0.0,88.8,79.5,147.2,60.8,58.4,112.2,102.8,140.2,142.6,158.9,0.0,0.0,217.4,158.9,259.4,81.8,0.0,273.5,149.6,105.2,0.0,0.0,0.0,0.0,88.8,79.5,147.2,60.8,58.4,112.2,102.8,140.2,142.6,158.9,0.0,0.0,217.4,158.9,259.4,81.8,0.0,273.5,149.6,105.2,0.0,0.0,0.0,0.0,0.0
15,89.8,80.3,148.8,61.4,59.1,113.4,103.9,141.7,144.1,160.6,0.0,0.0,219.7,160.6,262.2,82.7,0.0,276.4,151.2,106.3,0.0,0.0,0.0,0.0,89.8,80.3,148.8,61.4,59.1,113.4,103.9,141.7,144.1,160.6,0.0,0.0,219.7,160.6,262.2,82.7,0.0,276.4,151.2,106.3,0.0,0.0,0.0,0.0,89.8,80.3,148.8,61.4,59.1,113.4,103.9,141.7,144.1,160.6,0.0,0.0,219.7,160.6,262.2,82.7,0.0,276.4,151.2,106.3,0.0,0.0,0.0,0.0,0.0
16,94.5,84.6,156.7,64.7,62.2,119.4,109.5,149.3,151.8,169.2,0.0,0.0,231.4,169.2,276.2,87.1,0.0,291.1,159.2,112.0,0.0,0.0,0.0,0.0,94.5,84.6,156.7,64.7,62.2,119.4,109.5,149.3,151.8,169.2,0.0,0.0,231.4,169.2,276.2,87.1,0.0,291.1,159.2,112.0,0.0,0.0,0.0,0.0,94.5,84.6,156.7,64.7,62.2,119.4,109.5,149.3,151.8,169.2,0.0,0.0,231.4,169.2,276.2,87.1,0.0,291.1,159.2,112.0,0.0,0.0,0.0,0.0,0.0
17,95.5,85.4,158.3,65.3,62.8,120.6,110.6,150.8,153.3,170.9,0.0,0.0,233.7,170.9,279.0,88.0,0.0,294.0,160.8,113.1,0.0,0.0,0.0,0.0,95.5,85.4,158.3,65.3,62.8,120.6,110.6,150.8,153.3,170.9,0.0,0.0,233.7,170.9,279.0,88.0,0.0,294.0,160.8,113.1,0.0,0.0,0.0,0.0,95.5,85.4,158.3,65.3,62.8,120.6,110.6,150.8,153.3,170.9,0.0,0.0,233.7,170.9,279.0,88.0,0.0,294.0,160.8,113.1,0.0,0.0,0.0,0.0,0.0
18,95.5,85.4,158.3,65.3,62.8,120.6,110.6,150.8,153.3,170.9,0.0,0.0,233.7,170.9,279.0,88.0,0.0,294.0,160.8,113.1,0.0,0.0,0.0,0.0,95.5,85.4,158.3,65.3,62.8,120.6,110.6,150.8,153.3,170.9,0.0,0.0,233.7,170.9,279.0,88.0,0.0,294.0,160.8,113.1,0.0,0.0,0.0,0.0,95.5,85.4,158.3,65.3,62.8,120.6,110.6,150.8,153.3,170.9,0.0,0.0,233.7,170.9,279.0,88.0,0.0,294.0,160.8,113.1,0.0,0.0,0.0,0.0,0.0
19,91.7,82.0,152.0,62.7,60.3,115.8,106.2,144.8,147.2,164.1,0.0,0.0,224.4,164.1,267.8,84.4,0.0,282.3,154.4,108.6,0.0,0.0,0.0,0.0,91.7,82.0,152.0,62.7,60.3,115.8,106.2,144.8,147.2,164.1,0.0,0.0,224.4,164.1,267.8,84.4,0.0,282.3,154.4,108.6,0.0,0.0,0.0,0.0,91.7,82.0,152.0,62.7,60.3,115.8,106.2,144.8,147.2,164.1,0.0,0.0,224.4,164.1,267.8,84.4,0.0,282.3,154.4,108.6,0.0,0.0,0.0,0.0,0.0
20,86.9,77.8,144.1,59.5,57.2,109.8,100.6,137.2,139.5,155.5,0.0,0.0,212.7,155.5,253.9,80.0,0.0,267.6,146.4,102.9,0.0,0.0,0.0,0.0,86.9,77.8,144.1,59.5,57.2,109.8,100.6,137.2,139.5,155.5,0.0,0.0,212.7,155.5,253.9,80.0,0.0,267.6,146.4,102.9,0.0,0.0,0.0,0.0,86.9,77.8,144.1,59.5,57.2,109.8,100.6,137.2,139.5,155.5,0.0,0.0,212.7,155.5,253.9,80.0,0.0,267.6,146.4,102.9,0.0,0.0,0.0,0.0,0.0
21,79.3,70.9,131.4,54.2,52.1,100.1,91.8,125.2,127.2,141.8,0.0,0.0,194.0,141.8,231.5,73.0,0.0,244.1,133.5,93.9,0.0,0.0,0.0,0.0,79.3,70.9,131.4,54.2,52.1,100.1,91.8,125.2,127.2,141.8,0.0,0.0,194.0,141.8,231.5,73.0,0.0,244.1,133.5,93.9,0.0,0.0,0.0,0.0,79.3,70.9,131.4,54.2,52.1,100.1,91.8,125.2,127.2,141.8,0.0,0.0,194.0,141.8,231.5,73.0,0.0,244.1,133.5,93.9,0.0,0.0,0.0,0.0,0.0
22,69.7,62.4,115.6,47.7,45.9,88.1,80.7,110.1,111.9,124.8,0.0,0.0,170.6,124.8,203.6,64.2,0.0,214.7,117.4,82.6,0.0,0.0,0.0,0.0,69.7,62.4,115.6,47.7,45.9,88.1,80.7,110.1,111.9,124.8,0.0,0.0,170.6,124.8,203.6,64.2,0.0,214.7,117.4,82.6,0.0,0.0,0.0,0.0,69.7,62.4,115.6,47.7,45.9,88.1,80.7,110.1,111.9,124.8,0.0,0.0,170.6,124.8,203.6,64.2,0.0,214.7,117.4,82.6,0.0,0.0,0.0,0.0,0.0
23,60.2,53.8,99.7,41.2,39.6,76.0,69.7,95.0,96.6,107.7,0.0,0.0,147.2,107.7,175.7,55.4,0.0,185.2,101.3,71.2,0.0,0.0,0.0,0.0,60.2,53.8,99.7,41.2,39.6,76.0,69.7,95.0,96.6,107.7,0.0,0.0,147.2,107.7,175.7,55.4,0.0,185.2,101.3,71.2,0.0,0.0,0.0,0.0,60.2,53.8,99.7,41.2,39.6,76.0,69.7,95.0,96.6,107.7,0.0,0.0,147.2,107.7,175.7,55.4,0.0,185.2,101.3,71.2,0.0,0.0,0.0,0.0,0.0
24,68.8,61.6,114.1,47.1,45.3,86.9,79.7,108.6,110.4,123.1,0.0,0.0,168.4,123.1,201.0,63.4,0.0,211.8,115.9,81.5,0.0,0.0,0.0,0.0,68.8,61.6,114.1,47.1,45.3,86.9,79.7,108.6,110.4,123.1,0.0,0.0,168.4,123.1,201.0,63.4,0.0,211.8,115.9,81.5,0.0,0.0,0.0,0.0,68.8,61.6,114.1,47.1,45.3,86.9,79.7,108.6,110.4,123.1,0.0,0.0,168.4,123.1,201.0,63.4,0.0,211.8,115.9,81.5,0.0,0.0,0.0,0.0,0.0
25,64.7,57.9,107.3,44.3,42.6,81.7,74.9,102.1,103.9,115.8,0.0,0.0,158.3,115.8,189.0,59.6,0.0,199.2,109.0,76.6,0.0,0.0,0.0,0.0,64.7,57.9,107.3,44.3,42.6,81.7,74.9,102.1,103.9,115.8,0.0,0.0,158.3,115.8,189.0,59.6,0.0,199.2,109.0,76.6,0.0,0.0,0.0,0.0,64.7,57.9,107.3,44.3,42.6,81.7,74.9,102.1,103.9,115.8,0.0,0.0,158.3,115.8,189.0,59.6,0.0,199.2,109.0,76.6,0.0,0.0,0.0,0.0,0.0
26,61.6,55.1,102.1,42.2,40.5,77.8,71.3,97.3,98.9,110.3,0.0,0.0,150.8,110.3,180.0,56.7,0.0,189.7,103.8,73.0,0.0,0.0,0.0,0.0,61.6,55.1,102.1,42.2,40.5,77.8,71.3,97.3,98.9,110.3,0.0,0.0,150.8,110.3,180.0,56.7,0.0,189.7,103.8,73.0,0.0,0.0,0.0,0.0,61.6,55.1,102.1,42.2,40.5,77.8,71.3,97.3,98.9,110.3,0.0,0.0,150.8,110.3,180.0,56.7,0.0,189.7,103.8,73.0,0.0,0.0,0.0,0.0,0.0
27,60.6,54.2,100.4,41.5,39.9,76.5,70.2,95.7,97.3,108.4,0.0,0.0,148.3,108.4,177.0,55.8,0.0,186.5,102.0,71.7,0.0,0.0,0.0,0.0,60.6,54.2,100.4,41.5,39.9,76.5,70.2,95.7,97.3,108.4,0.0,0.0,148.3,108.4,177.0,55.8,0.0,186.5,102.0,71.7,0.0,0.0,0.0,0.0,60.6,54.2,100.4,41.5,39.9,76.5,70.2,95.7,97.3,108.4,0.0,0.0,148.3,108.4,177.0,55.8,0.0,186.5,102.0,71.7,0.0,0.0,0.0,0.0,0.0
28,60.6,54.2,100.4,41.5,39.9,76.5,70.2,95.7,97.3,108.4,0.0,0.0,148.3,108.4,177.0,55.8,0.0,186.5,102.0,71.7,0.0,0.0,0.0,0.0,60.6,54.2,100.4,41.5,39.9,76.5,70.2,95.7,97.3,108.4,0.0,0.0,148.3,108.4,177.0,55.8,0.0,186.5,102.0,71.7,0.0,0.0,0.0,0.0,60.6,54.2,100.4,41.5,39.9,76.5,70.2,95.7,97.3,108.4,0.0,0.0,148.3,108.4,177.0,55.8,0.0,186.5,102.0,71.7,0.0,0.0,0.0,0.0,0.0
29,61.6,55.1,102.1,42.2,40.5,77.8,71.3,97.3,98.9,110.3,0.0,0.0,150.8,110.3,180.0,56.7,0.0,189.7,103.8,73.0,0.0,0.0,0.0,0.0,61.6,55.1,102.1,42.2,40.5,77.8,71.3,97.3,98.9,110.3,0.0,0.0,150.8,110.3,180.0,56.7,0.0,189.7,103.8,73.0,0.0,0.0,0.0,0.0,61.6,55.1,102.1,42.2,40.5,77.8,71.3,97.3,98.9,110.3,0.0,0.0,150.8,110.3,180.0,56.7,0.0,189.7,103.8,73.0,0.0,0.0,0.0,0.0,0.0
30,76.0,68.0,126.0,52.0,50.0,96.0,88.0,120.0,122.0,136.0,0.0,0.0,186.0,136.0,222.0,70.0,0.0,234.0,128.0,90.0,0.0,0.0,0.0,0.0,76.0,68.0,126.0,52.0,50.0,96.0,88.0,120.0,122.0,136.0,0.0,0.0,186.0,136.0,222.0,70.0,0.0,234.0,128.0,90.0,0.0,0.0,0.0,0.0,76.0,68.0,126.0,52.0,50.0,96.0,88.0,120.0,122.0,136.0,0.0,0.0,186.0,136.0,222.0,70.0,0.0,234.0,128.0,90.0,0.0,0.0,0.0,0.0,0.0
31,88.3,79.0,146.4,60.4,58.1,111.6,102.3,139.4,141.8,158.0,0.0,0.0,216.1,158.0,258.0,81.3,0.0,271.9,148.7,104.6,0.0,0.0,0.0,0.0,88.3,79.0,146.4,60.4,58.1,111.6,102.3,139.4,141.8,158.0,0.0,0.0,216.1,158.0,258.0,81.3,0.0,271.9,148.7,104.6,0.0,0.0,0.0,0.0,88.3,79.0,146.4,60.4,58.1,111.6,102.3,139.4,141.8,158.0,0.0,0.0,216.1,158.0,258.0,81.3,0.0,271.9,148.7,104.6,0.0,0.0,0.0,0.0,0.0
32,97.6,87.3,161.7,66.7,64.2,123.2,113.0,154.0,156.6,174.6,0.0,0.0,238.8,174.6,285.0,89.9,0.0,300.4,164.3,115.5,0.0,0.0,0.0,0.0,97.6,87.3,161.7,66.7,64.2,123.2,113.0,154.0,156.6,174.6,0.0,0.0,238.8,174.6,285.0,89.9,0.0,300.4,164.3,115.5,0.0,0.0,0.0,0.0,97.6,87.3,161.7,66.7,64.2,123.2,113.0,154.0,156.6,174.6,0.0,0.0,238.8,174.6,285.0,89.9,0.0,300.4,164.3,115.5,0.0,0.0,0.0,0.0,0.0
33,98.6,88.2,163.4,67.5,64.9,124.5,114.1,155.7,158.3,176.4,0.0,0.0,241.3,176.4,288.0,90.8,0.0,303.5,166.0,116.7,0.0,0.0,0.0,0.0,98.6,88.2,163.4,67.5,64.9,124.5,114.1,155.7,158.3,176.4,0.0,0.0,241.3,176.4,288.0,90.8,0.0,303.5,166.0,116.7,0.0,0.0,0.0,0.0,98.6,88.2,163.4,67.5,64.9,124.5,114.1,155.7,158.3,176.4,0.0,0.0,241.3,176.4,288.0,90.8,0.0,303.5,166.0,116.7,0.0,0.0,0.0,0.0,0.0
34,98.6,88.2,163.4,67.5,64.9,124.5,114.1,155.7,158.3,176.4,0.0,0.0,241.3,176.4,288.0,90.8,0.0,303.5,166.0,116.7,0.0,0.0,0.0,0.0,98.6,88.2,163.4,67.5,64.9,124.5,114.1,155.7,158.3,176.4,0.0,0.0,241.3,176.4,288.0,90.8,0.0,303.5,166.0,116.7,0.0,0.0,0.0,0.0,98.6,88.2,163.4,67.5,64.9,124.5,114.1,155.7,158.3,176.4,0.0,0.0,241.3,176.4,288.0,90.8,0.0,303.5,166.0,116.7,0.0,0.0,0.0,0.0,0.0
35,97.6,87.3,161.7,66.7,64.2,123.2,113.0,154.0,156.6,174.6,0.0,0.0,238.8,174.6,285.0,89.9,0.0,300.4,164.3,115.5,0.0,0.0,0.0,0.0,97.6,87.3,161.7,66.7,64.2,123.2,113.0,154.0,156.6,174.6,0.0,0.0,238.8,174.6,285.0,89.9,0.0,300.4,164.3,115.5,0.0,0.0,0.0,0.0,97.6,87.3,161.7,66.7,64.2,123.2,113.0,154.0,156.6,174.6,0.0,0.0,238.8,174.6,285.0,89.9,0.0,300.4,164.3,115.5,0.0,0.0,0.0,0.0,0.0
36,97.6,87.3,161.7,66.7,64.2,123.2,113.0,154.0,156.6,174.6,0.0,0.0,238.8,174.6,285.0,89.9,0.0,300.4,164.3,115.5,0.0,0.0,0.0,0.0,97.6,87.3,161.7,66.7,64.2,123.2,113.0,154.0,156.6,174.6,0.0,0.0,238.8,174.6,285.0,89.9,0.0,300.4,164.3,115.5,0.0,0.0,0.0,0.0,97.6,87.3,161.7,66.7,64.2,123.2,113.0,154.0,156.6,174.6,0.0,0.0,238.8,174.6,285.0,89.9,0.0,300.4,164.3,115.5,0.0,0.0,0.0,0.0,0.0
37,97.6,87.3,161.7,66.7,64.2,123.2,113.0,154.0,156.6,174.6,0.0,0.0,238.8,174.6,285.0,89.9,0.0,300.4,164.3,115.5,0.0,0.0,0.0,0.0,97.6,87.3,161.7,66.7,64.2,123.2,113.0,154.0,156.6,174.6,0.0,0.0,238.8,174.6,285.0,89.9,0.0,300.4,164.3,115.5,0.0,0.0,0.0,0.0,97.6,87.3,161.7,66.7,64.2,123.2,113.0,154.0,156.6,174.6,0.0,0.0,238.8,174.6,285.0,89.9,0.0,300.4,164.3,115.5,0.0,0.0,0.0,0.0,0.0
38,95.5,85.4,158.3,65.3,62.8,120.6,110.6,150.8,153.3,170.9,0.0,0.0,233.7,170.9,279.0,88.0,0.0,294.0,160.8,113.1,0.0,0.0,0.0,0.0,95.5,85.4,158.3,65.3,62.8,120.6,110.6,150.8,153.3,170.9,0.0,0.0,233.7,170.9,279.0,88.0,0.0,294.0,160.8,113.1,0.0,0.0,0.0,0.0,95.5,85.4,158.3,65.3,62.8,120.6,110.6,150.8,153.3,170.9,0.0,0.0,233.7,170.9,279.0,88.0,0.0,294.0,160.8,113.1,0.0,0.0,0.0,0.0,0.0
39,96.5,86.4,160.0,66.0,63.5,121.9,111.8,152.4,155.0,172.7,0.0,0.0,236.2,172.7,282.0,88.9,0.0,297.2,162.6,114.3,0.0,0.0,0.0,0.0,96.5,86.4,160.0,66.0,63.5,121.9,111.8,152.4,155.0,172.7,0.0,0.0,236.2,172.7,282.0,88.9,0.0,297.2,162.6,114.3,0.0,0.0,0.0,0.0,96.5,86.4,160.0,66.0,63.5,121.9,111.8,152.4,155.0,172.7,0.0,0.0,236.2,172.7,282.0,88.9,0.0,297.2,162.6,114.3,0.0,0.0,0.0,0.0,0.0
40,101.7,91.0,168.5,69.6,66.9,128.4,117.7,160.5,163.2,181.9,0.0,0.0,248.8,181.9,297.0,93.6,0.0,313.0,171.2,120.4,0.0,0.0,0.0,0.0,101.7,91.0,168.5,69.6,66.9,128.4,117.7,160.5,163.2,181.9,0.0,0.0,248.8,181.9,297.0,93.6,0.0,313.0,171.2,120.4,0.0,0.0,0.0,0.0,101.7,91.0,168.5,69.6,66.9,128.4,117.7,160.5,163.2,181.9,0.0,0.0,248.8,181.9,297.0,93.6,0.0,313.0,171.2,120.4,0.0,0.0,0.0,0.0,0.0
41,102.7,91.9,170.2,70.3,67.6,129.7,118.9,162.1,164.8,183.8,0.0,0.0,251.3,183.8,300.0,94.6,0.0,316.2,173.0,121.6,0.0,0.0,0.0,0.0,102.7,91.9,170.2,70.3,67.6,129.7,118.9,162.1,164.8,183.8,0.0,0.0,251.3,183.8,300.0,94.6,0.0,316.2,173.0,121.6,0.0,0.0,0.0,0.0,102.7,91.9,170.2,70.3,67.6,129.7,118.9,162.1,164.8,183.8,0.0,0.0,251.3,183.8,300.0,94.6,0.0,316.2,173.0,121.6,0.0,0.0,0.0,0.0,0.0
42,102.7,91.9,170.2,70.3,67.6,129.7,118.9,162.1,164.8,183.8,0.0,0.0,251.3,183.8,300.0,94.6,0.0,316.2,173.0,121.6,0.0,0.0,0.0,0.0,102.7,91.9,170.2,70.3,67.6,129.7,118.9,162.1,164.8,183.8,0.0,0.0,251.3,183.8,300.0,94.6,0.0,316.2,173.0,121.6,0.0,0.0,0.0,0.0,102.7,91.9,170.2,70.3,67.6,129.7,118.9,162.1,164.8,183.8,0.0,0.0,251.3,183.8,300.0,94.6,0.0,316.2,173.0,121.6,0.0,0.0,0.0,0.0,0.0
43,98.6,88.2,163.4,67.5,64.9,124.5,114.1,155.7,158.3,176.4,0.0,0.0,241.3,176.4,288.0,90.8,0.0,303.5,166.0,116.7,0.0,0.0,0.0,0.0,98.6,88.2,163.4,67.5,64.9,124.5,114.1,155.7,158.3,176.4,0.0,0.0,241.3,176.4,288.0,90.8,0.0,303.5,166.0,116.7,0.0,0.0,0.0,0.0,98.6,88.2,163.4,67.5,64.9,124.5,114.1,155.7,158.3,176.4,0.0,0.0,241.3,176.4,288.0,90.8,0.0,303.5,166.0,116.7,0.0,0.0,0.0,0.0,0.0
44,93.4,83.6,154.9,63.9,61.5,118.0,108.2,147.5,150.0,167.2,0.0,0.0,228.7,167.2,273.0,86.1,0.0,287.7,157.4,110.7,0.0,0.0,0.0,0.0,93.4,83.6,154.9,63.9,61.5,118.0,108.2,147.5,150.0,167.2,0.0,0.0,228.7,167.2,273.0,86.1,0.0,287.7,157.4,110.7,0.0,0.0,0.0,0.0,93.4,83.6,154.9,63.9,61.5,118.0,108.2,147.5,150.0,167.2,0.0,0.0,228.7,167.2,273.0,86.1,0.0,287.7,157.4,110.7,0.0,0.0,0.0,0.0,0.0
